Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,male,quiet,0.0104210087536473,3.437885443597953e-09,NO
education,male,punctual,0.0102125885785744,0.000480746152062,NO
education,male,supportive,0.0095873280533555,0.0001919585742983,NO
education,male,skeptical,0.0083368070029178,1.0713237748980011e-09,NO
education,male,observes events,0.0060441850771154,3.2032573518762288e-06,NO
education,male,helpful,0.0052105043768236,0.0182079940381876,NO
education,male,attentive listener,0.0050020842017507,0.0020957212482697,NO
education,male,acknowledges a person,0.0035431429762401,0.0018994753027218,NO
education,male,often late,0.0031263026260942,0.0006409124878242,NO
education,male,calm,0.0031263026260942,0.0267603058990785,NO
education,male,logs in late,0.0029178824510212,0.0034420333335736,NO
education,male,follows the other person,0.0029178824510212,0.0052567732339527,NO
education,male,cooperative,0.0029178824510212,0.0034420333335736,NO
education,male,practical,0.0027094622759483,0.0018518767927227,NO
education,male,shows hesitation,0.0025010421008753,0.0296284736751044,NO
education,male,reassures others,0.0022926219258024,0.0147547032275763,NO
education,male,seated at table,0.0022926219258024,0.0024819642846209,NO
education,male,thoughtful,0.0022926219258024,0.0053554561828122,NO
education,male,frustrated,0.0022926219258024,0.0053554561828122,NO
education,male,frustrated by distractions,0.0020842017507294,0.0156944681783804,NO
education,male,surprised to see a colleague,0.0020842017507294,0.0043038765583129,NO
education,male,reassures Aisha,0.0020842017507294,0.0043038765583129,NO
education,male,appears disorganized,0.0020842017507294,0.0043038765583129,NO
education,male,seeks solutions,0.0018757815756565,0.0155023632437942,NO
education,male,arms crossed,0.0018757815756565,0.0074908108300273,NO
education,male,data-responsive,0.0016673614005835,0.026381832522812,NO
education,male,gentle,0.0016673614005835,0.026381832522812,NO
education,male,exchanges names with Grace,0.0014589412255106,0.0230404080315789,NO
education,male,humorous,0.0014589412255106,0.044893726908212,NO
education,male,operates control panel,0.0014589412255106,0.044893726908212,NO
education,male,at the registration desk,0.0012505210504376,0.0408470132779697,NO
education,female,empathetic,0.017697272537997,1.3997176856085143e-16,NO
education,female,determined,0.014366021236727,6.639474789089019e-12,NO
education,female,proactive,0.0097855506974807,3.4154416038383074e-06,NO
education,female,takes initiative,0.0083281282531751,2.8114460500432812e-05,NO
education,female,responsible,0.0081199250468457,2.278149347548296e-05,NO
education,female,persistent,0.0072871122215282,1.306954275498838e-06,NO
education,female,adjusts microphone,0.00666250260254,3.0996250490054315e-08,NO
education,female,drawn to folklore,0.0064542993962107,2.939025600268647e-07,NO
education,female,calm under pressure,0.0060378929835519,0.0027741697375934,NO
education,female,discovers forgotten books,0.0058296897772225,2.8623376043606943e-06,NO
education,female,focused on a person,0.0054132833645638,0.0032998448627855,NO
education,female,well-prepared,0.0052050801582344,0.0003803747342719,NO
education,female,composed under pressure,0.004996876951905,0.0017555460006022,NO
education,female,discovers forgotten objects,0.0047886737455756,9.216501250552024e-06,NO
education,female,arrives early,0.0043722673329169,0.0361535841730522,NO
education,female,researcher,0.0041640641265875,0.0331939917163836,NO
education,female,patient,0.0041640641265875,0.0023467255438812,NO
education,female,adjusts display settings,0.0039558609202581,3.263953573254965e-05,NO
education,female,analyzes data,0.0037476577139287,0.0252840027446842,NO
education,female,breathless,0.0037476577139287,5.585534525349927e-05,NO
education,female,speaker,0.0035394545075994,0.0004403717721275,NO
education,female,organized,0.00333125130127,0.002034920984327,NO
education,female,values trust,0.00333125130127,0.0413019582934702,NO
education,female,adjusts clothing,0.00333125130127,0.0003771308494208,NO
education,female,clutches a crumpled application,0.0031230480949406,0.0002813979472967,NO
education,female,acts decisively,0.0029148448886112,0.0328119736713097,NO
education,female,struggles with math,0.0029148448886112,0.0468847139741549,NO
education,female,caring,0.0027066416822819,0.0056145555868737,NO
education,female,advocates for climate change,0.0024984384759525,0.0182012021540072,NO
education,female,adventurous,0.0022902352696231,0.021004619625683,NO
education,female,group leader,0.0020820320632937,0.0428511200765423,NO
education,female,scans information,0.0020820320632937,0.0156944681783804,NO
education,female,wears goggles,0.0020820320632937,0.009110644467361,NO
education,female,reviews data,0.0020820320632937,0.0156944681783804,NO
education,female,owns a dog,0.0018738288569643,0.0258891875055918,NO
education,female,emotionally engaged,0.001665625650635,0.026381832522812,NO
education,female,entered a bustling conference hall,0.0014574224443056,0.0230404080315789,NO
education,female,deadline-aware,0.0012492192379762,0.0408470132779697,NO
sports,male,receives support,0.0260797571408858,3.195389820837098e-23,NO
sports,male,provides quiet encouragement,0.0106250862425831,1.588716921772293e-08,NO
sports,male,observant,0.0060714778529046,0.0175787189439663,NO
sports,male,playful,0.0052435490547812,0.0020556840013425,NO
sports,male,confident,0.0049675727887401,0.0087667566801333,NO
sports,male,stretches,0.0035876914585345,4.366005566240161e-06,NO
